w_dl,oof_acc
0.0,0.8174393189922926
0.01,0.8175543540779938
0.02,0.8176693891636949
0.03,0.8178994593350972
0.04,0.8178994593350972
0.05,0.8187047049350051
0.06,0.818589669849304
0.07,0.8188197400207063
0.08,0.8190498101921085
0.09,0.8195099505349132
0.1,0.8191648452778098
0.11,0.8189347751064074
0.12,0.8187047049350051
0.13,0.8183595996779017
0.14,0.8178994593350972
0.15,0.8182445645922006
0.16,0.8189347751064074
0.17,0.8187047049350051
0.18,0.818589669849304
0.19,0.8188197400207063
0.2,0.8182445645922006
0.21,0.8182445645922006
0.22,0.8183595996779017
0.23,0.8180144944207983
0.24,0.8173242839065915
0.25,0.8169791786494881
0.26,0.8167491084780858
0.27,0.8165190383066835
0.28,0.8165190383066835
0.29,0.8166340733923847
0.3,0.8169791786494881
0.31,0.816864143563787
0.32,0.8167491084780858
0.33,0.8166340733923847
0.34,0.8164040032209824
0.35,0.8158288277924767
0.36,0.8159438628781779
0.37,0.816058897963879
0.38,0.8161739330495801
0.39,0.8155987576210745
0.4,0.8158288277924767
